ll
-41547.38477530831
-41523.11365981879
-41499.588627539495
-41476.80244570357
-41454.74755452244
-41433.41605692469
-41412.79971183394
-41392.889902859984
-41373.67761437584
-41355.153405335135
-41337.307388196255
-41320.12919692229
-41303.60796554553
-41287.73228816801
-41272.490194424885
-41257.869106837
-41243.855801966216
-41230.436371136704
-41217.59617284673
-41205.31978323647
-41193.590945552736
-41182.392508619036
-41171.706366159735
-41161.513390517335
-41151.793356774324
-41142.52486201333
-41133.68523900255
-41125.25046060715
-41117.19503448128
-41109.49188996969
-41102.112252359504
-41095.025504494864
-41088.199038197505
-41081.59808697886
-41075.18553865723
-41068.921740908285
-41062.764265249716
-41056.66766429467
-41050.58319946381
-41044.458543494504
-41038.23745568347
-41031.859403917355
-41025.259128378886
-41018.36615092991
-41011.104236001156
-41003.39079136668
-40995.1361912598
-40986.243010180835
-40976.60515074244
-40966.106851733144
-40954.62155059076
-40942.010593020066
-40928.12173099298
-40912.787442758374
-40895.82299893658
-40877.02443160701
-40856.162790589085
-40832.985945126835
-40807.21468273165
-40778.53314855444
-40746.5873150303
-40710.97829791603
-40671.25479917188
-40626.90411584465
-40577.34120984785
-40521.89493470886
-40459.7920222365
-40390.135540584124
-40311.88159632562
-40223.80480373954
-40124.45740807062
-40012.11550400125
-39884.71173027762
-39739.73174096209
-39574.10630101335
-39384.033413832745
-39164.7429913423
-38910.1240283885
-38612.327209003524
-38260.94266806724
-37841.84835504586
-37335.574561022724
-36713.93700487192
-35935.11633373402
-34933.10857999148
-33599.103791904985
-31729.226706067933
-28886.69289073073
-23993.684907748433
-18508.623494638094
-16495.22199161544
-15224.445649119625
-14226.55844866585
-13378.5818944442
-12628.879946657124
-11950.546005678125
-11327.323868930333
-10748.651728020477
-10207.166678432073
-9697.523513102093
-9215.64654621126
-8758.411075963
-8323.308843814644
-7908.309347194621
-7511.742281564742
-7132.202880995663
-6768.513997269281
-6419.6577955458915
-6084.763632724932
-5763.069865530185
-5453.908046842962
-5156.698545440571
-4870.916426213574
-4596.09538927981
-4331.818626876
-4077.71332566377
-3833.4425571401166
-3598.6911702947014
-3373.1795428525006
-3156.6585741514377
-2948.888253146412
-2749.6496660013127
-2558.748008820414
-2375.999666607255
-2201.2335669955205
-2034.2913128983914
-1875.0261148186148
-1723.3001234343735
-1578.9859385180341
-1441.9673541877225
-1312.1315906853356
-1189.3710856122566
-1073.5871472435424
-964.6894159820625
-862.5905188099113
-767.2080001784
-678.4642641171326
-596.2845706306495
-520.569653795429
-451.3153287099492
-388.42793317878636
-331.84849079870037
-281.51978245300205
-237.38752741064837
-199.4001166424794
-167.50927722712817
-141.66933763470308
-121.83625167435792
-107.9675701547882
-100.02251487061838
-97.9617883273535
-101.74841653632654
-111.34717830495904
-126.72426510657012
-147.84674924253
-174.68572859381737
-207.2061899855849
-245.38288163720705
-289.186399478209
-338.59149379333775
-393.572197977228
-454.1039489936472
-520.1562744892187
-591.716097093165
-668.7580751421343
-751.2595193756162
-839.1999252096025
-932.5600185567938
-1031.3209980920935
-1135.4634549379525
-1244.9712067648477
-1359.823173985309
-1480.012031935571
-1605.5037304900593
-1736.3011968215392
-1872.382385558147
-2013.7328633455006
-2160.3331301362236
-2312.18025427292
-2469.2536867689128
-2631.540470687204
-2799.0284419987447
-2971.703743671535
-3149.5568618986767
-3332.5760334562547
-3520.7501250631103
-3714.068651869599
-3912.5065022136346
-4116.077762781131
-4324.763635853997
-4538.553364621748
-4757.445065207664
-4981.415246093936
-5210.46101224332
-5444.574107843444
-5683.744539818574
-5927.964717557216
-6177.227462444333
-6431.51116230648
-6690.843409122101
-6955.175878370035
